"year","territory","oblast_code","title_count","copy_count","territory_ua"
2019,"Poltava","UA53000000000028050",333,80.4,"Полтавська"
2019,"Rivne","UA56000000000066151",191,89.2,"Рівненська"
2019,"Sumy","UA59000000000057109",461,451.5,"Сумська"
2019,"Ternopil","UA61000000000060328",826,2928.3,"Тернопільська"
2019,"Kharkiv","UA63000000000041885",6291,22327.3,"Харківська"
2019,"Kherson","UA65000000000030969",349,92.5,"Херсонська"
2019,"Khmelnytskyi","UA68000000000099709",352,571.1,"Хмельницька"
2019,"Cherkasy","UA71000000000010357",377,147.8,"Черкаська"
2019,"Chernivtsi","UA73000000000044923",346,193.6,"Чернівецька"
2019,"Chernihiv","UA74000000000025378",274,121.7,"Чернігівська"
2020,"Ivano-Frankivsk","UA26000000000069363",289,107.2,"Івано-Франківська"
2020,"Crimea","UA01000000000013043",0,0,"Автономна Республіка Крим"
2020,"Volyn","UA07000000000024379",202,63.4,"Волинська"
2020,"Vinnytsia","UA05000000000010236",464,121.5,"Вінницька"
2020,"Dnipro","UA12000000000090473",580,223.2,"Дніпропетровська"
2020,"Donetsk","UA14000000000091971",107,135.2,"Донецька"
2020,"Zhytomyr","UA18000000000041385",205,51.3,"Житомирська"
2020,"Zakarpattia","UA21000000000011690",213,85.6,"Закарпатська"
2020,"Zaporizhzhia","UA23000000000064947",340,102.4,"Запорізька"
2020,"Kyiv City","UA80000000000093317",6121,15262.3,"Київ"
2020,"Kyiv Oblast","UA32000000000030281",144,38,"Київська"
