"year","category_type","category_value","measure","value"
2008,"language","Русинська","copy_count",0
2008,"language","Русинська","title_count",0
2008,"language","Сербська","copy_count",0
2008,"language","Сербська","title_count",0
2008,"language","Словацька","copy_count",0
2008,"language","Словацька","title_count",0
2008,"language","Старослов'янська (церковнослов'янська)","copy_count",0
2008,"language","Старослов'янська (церковнослов'янська)","title_count",0
2008,"language","Турецька","copy_count",0
2008,"language","Турецька","title_count",0
2008,"language","Угорська","copy_count",0
2008,"language","Угорська","title_count",0
2008,"language","Узбецька","copy_count",0
2008,"language","Узбецька","title_count",0
2008,"language","Українська","copy_count",32606.1
2008,"language","Українська","title_count",16417
2008,"language","Французька","copy_count",0
2008,"language","Французька","title_count",0
2008,"language","Чеська","copy_count",0
2008,"language","Чеська","title_count",0
2008,"language","Японська","copy_count",0
2008,"language","Японська","title_count",0
2008,"purpose","Інформаційні видання","copy_count",427.1
2008,"purpose","Інформаційні видання","title_count",41
2008,"purpose","Бібліографічні видання","copy_count",41
2008,"purpose","Бібліографічні видання","title_count",159
2008,"purpose","Видання для дітей та юнацтва","copy_count",6435.5
2008,"purpose","Видання для дітей та юнацтва","title_count",1699
2008,"purpose","Видання для організації дозвілля","copy_count",0.5
2008,"purpose","Видання для організації дозвілля","title_count",3
2008,"purpose","Громадсько-політичні видання","copy_count",361.3
2008,"purpose","Громадсько-політичні видання","title_count",74
2008,"purpose","Довідкові видання","copy_count",2988.4
2008,"purpose","Довідкові видання","title_count",957
2008,"purpose","Література релігійного змісту","copy_count",3882.2
2008,"purpose","Література релігійного змісту","title_count",342
2008,"purpose","Літературно-художні видання для дорослих","copy_count",10510.4
2008,"purpose","Літературно-художні видання для дорослих","title_count",3983
2008,"purpose","Навчальні та методичні видання","copy_count",24721.6
2008,"purpose","Навчальні та методичні видання","title_count",8873
2008,"purpose","Науково-популярні видання для дорослих","copy_count",3662.3
2008,"purpose","Науково-популярні видання для дорослих","title_count",1543
2008,"purpose","Наукові видання","copy_count",1825.3
2008,"purpose","Наукові видання","title_count",3732
